,Season,Winner,Winner_Country,Winner_Score,Finalist_Score,Finalist,Finalist_Country,Venue,Attendance
1,1956–57,Real Madrid, Spain,2,0,Fiorentina, Italy,"Spain Santiago Bernabéu Stadium, Madrid",124000
2,1957–58,Real Madrid, Spain,3,2,Milan, Italy,"Belgium Heysel Stadium, Brussels",67000
3,1958–59,Real Madrid, Spain,2,0,Stade de Reims, France,"West Germany Neckarstadion, Stuttgart",72000
4,1959–60,Real Madrid, Spain,7,3,Eintracht Frankfurt, West Germany,"Scotland Hampden Park, Glasgow",127621
8,1963–64,Internazionale, Italy,3,1,Real Madrid, Spain,"Austria Prater Stadium, Vienna",71333
9,1964–65,Internazionale, Italy,1,0,Benfica, Portugal,"Italy San Siro, Milan",89000
12,1967–68,Manchester United, England,4,1,Benfica, Portugal,"England Wembley Stadium, London",92225
15,1970–71,Ajax, Netherlands,2,0,Panathinaikos, Greece,"England Wembley Stadium, London",83179
17,1972–73,Ajax, Netherlands,1,0,Juventus, Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade",89484
18,1973–74,Bayern Munich, West Germany,4,0,Atlético Madrid, Spain,"Belgium Heysel Stadium, Brussels",72047
22,1977–78,Liverpool, England,1,0,Club Brugge, Belgium,"England Wembley Stadium, London",92500
27,1982–83,Hamburg, West Germany,1,0,Juventus, Italy,"Greece Olympic Stadium, Athens",73500
28,1983–84,Liverpool, England,1,1,Roma, Italy,"Italy Stadio Olimpico, Rome",69693
30,1985–86,Steaua București, Romania,0,0,Barcelona, Spain,"Spain Estadio Ramón Sánchez Pizjuán, Seville",70000
32,1987–88,PSV Eindhoven, Netherlands,0,0,Benfica, Portugal,"West Germany Neckarstadion, Stuttgart",68000
33,1988–89,Milan, Italy,4,0,Steaua București, Romania,"Spain Camp Nou, Barcelona",97000
36,1991–92,Barcelona, Spain,1,0,Sampdoria, Italy,"England Wembley Stadium, London",70827
38,1993–94,Milan, Italy,4,0,Barcelona, Spain,"Greece Olympic Stadium, Athens",70000
40,1995–96,Juventus, Italy,1,1,Ajax, Netherlands,"Italy Stadio Olimpico, Rome",70000
43,1998–99,Manchester United, England,2,1,Bayern Munich, Germany,"Spain Camp Nou, Barcelona",90245
44,1999–2000,Real Madrid, Spain,3,0,Valencia, Spain,"France Stade de France, Saint-Denis",80000
45,2000–01,Bayern Munich, Germany,1,1,Valencia, Spain,"Italy San Siro, Milan",71500
49,2004–05,Liverpool, England,3,3,Milan, Italy,"Turkey Atatürk Olympic Stadium, Istanbul",69000
50,2005–06,Barcelona, Spain,2,1,Arsenal, England,"France Stade de France, Saint-Denis",79610
52,2007–08,Manchester United, England,1,1,Chelsea, England,"Russia Luzhniki Stadium, Moscow",67310
54,2009–10,Internazionale, Italy,2,0,Bayern Munich, Germany,"Spain Santiago Bernabéu Stadium, Madrid",73490
55,2010–11,Barcelona, Spain,3,1,Manchester United, England,"England Wembley Stadium, London",87695
57,2012–13,Bayern Munich, Germany,2,1,Borussia Dortmund, Germany,"England Wembley Stadium, London",86298
59,2014–15,Barcelona, Spain,3,1,Juventus, Italy,"Germany Olympiastadion, Berlin",70442
60,2015–16,Real Madrid, Spain,1,1,Atlético Madrid, Spain,"Italy San Siro, Milan",71942
