,Season,Winner,Winner_Country,Winner_Score,Finalist_Score,Finalist,Finalist_Country,Venue,Attendance
0,1955–56,Real Madrid, Spain,4,3,Stade de Reims, France,"France Parc des Princes, Paris",38239
1,1956–57,Real Madrid, Spain,2,0,Fiorentina, Italy,"Spain Santiago Bernabéu Stadium, Madrid",124000
2,1957–58,Real Madrid, Spain,3,2,Milan, Italy,"Belgium Heysel Stadium, Brussels",67000
3,1958–59,Real Madrid, Spain,2,0,Stade de Reims, France,"West Germany Neckarstadion, Stuttgart",72000
4,1959–60,Real Madrid, Spain,7,3,Eintracht Frankfurt, West Germany,"Scotland Hampden Park, Glasgow",127621
10,1965–66,Real Madrid, Spain,2,1,Partizan, Yugoslavia,"Belgium Heysel Stadium, Brussels",46745
42,1997–98,Real Madrid, Spain,1,0,Juventus, Italy,"Netherlands Amsterdam Arena, Amsterdam",48500
44,1999–2000,Real Madrid, Spain,3,0,Valencia, Spain,"France Stade de France, Saint-Denis",80000
46,2001–02,Real Madrid, Spain,2,1,Bayer Leverkusen, Germany,"Scotland Hampden Park, Glasgow",50499
58,2013–14,Real Madrid, Spain,4,1,Atlético Madrid, Spain,"Portugal Estádio da Luz, Lisbon",60976
60,2015–16,Real Madrid, Spain,1,1,Atlético Madrid, Spain,"Italy San Siro, Milan",71942
61,2016–17,Real Madrid, Spain,4,1,Juventus, Italy,"Wales Millennium Stadium, Cardiff",65842
